t,active_count,active_set,selector_mode,gdop_xy,gdop_3d,rank_xy,rank_3d,n_active,pos_err,soc,mission_phase,score,f_obs,f_energy,f_mission
73.85000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6217519008553168,0.5077333333333875,low_power,0.2285596976156453,0.00012043564969556294,0.2688000000000287,0.13507654050652762
73.86,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6218490954454989,0.5076666666667209,low_power,0.22853262482801187,0.0001204680341978417,0.26876470588238166,0.1350881331868674
73.87,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6219483245680502,0.5076000000000542,low_power,0.22850555121029614,0.00012046900934372042,0.2687294117647346,0.13509974897574095
73.88,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6221022571540574,0.5075333333333876,low_power,0.2284784697161589,0.00012036794567409784,0.26869411764708756,0.1351113880392143
73.89,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6222050854993746,0.5074666666667209,low_power,0.22845139985600965,0.00012036040850586544,0.2686588235294405,0.1351230499160666
73.9,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6006517094393216,0.5074000000000543,low_power,0.22842084001374813,0.00012034264965535034,0.2686235294117934,0.13509982219347838
73.91,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6007505672869835,0.5073333333333876,low_power,0.2283937662069879,0.00012034094932404428,0.2685882352941464,0.13511143876738352
73.92,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.600852305029506,0.5072666666667209,low_power,0.22836669584007316,0.00012035076056585837,0.2685529411764993,0.13512307822817105
73.93,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6009556610848733,0.5072000000000543,low_power,0.2283396270947405,0.0001203538280653647,0.2685176470588523,0.13513474064852138
73.94,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6010853698789684,0.5071333333333876,low_power,0.22831260246383475,0.00012077612102037795,0.2684823529412052,0.13514642498768537
73.95,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6113748353961687,0.507066666666721,low_power,0.22828152301116456,0.00012076284073147044,0.2684470588235582,0.1351179966824485
73.96000000000001,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6115070741147531,0.5070000000000543,low_power,0.22825444910090403,0.00012074833483408894,0.2684117647059111,0.13512962502691717
73.97,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6116415255684089,0.5069333333333876,low_power,0.2282273792032106,0.00012075126711188515,0.268376470588264,0.1351412760588817
73.98,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6117400759560848,0.506866666666721,low_power,0.2282003417921259,0.00012105716304949321,0.268341176470617,0.13515294899327357
73.99,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.6118796455889891,0.5068000000000543,low_power,0.22817327704102175,0.0001210662281210205,0.2683058823529699,0.13516464535833728
74.0,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.586626559815001,0.5067333333333877,low_power,0.2281428032865434,0.00012116765006033763,0.2682705882353229,0.13514215933279028
74.01,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.5867327403749535,0.506666666666721,low_power,0.2281157341352873,0.00012117353361829766,0.2682352941176758,0.13515381487784794
74.02,1.0,usv2,xy:dwell_hold,nan,nan,1.0,1.0,1.0,0.586796538900946,0.5066000000000543,low_power,0.22808868432446358,0.00012135065403619578,0.26820000000002875,0.13516549259036947
